"auth_id","auth_name","book_id"
1,"Dan Brown",1
2,"Gillian Flynn",2
3,"Liane Moriarty",3
4,"Jane Austen",4
5,"Frank Herbert",5
6,"Walter Isaacson",6
7,"George Orwell",7
8,"Harper Lee",8
9,"J.D. Salinger",9
10,"F. Scott Fitzgerald",10
11,"J.K. Rowling",11
12,"J.R.R. Tolkien",12
13,"J.R.R. Tolkien",13
14,"Suzanne Collins",14
15,"John Green",15
16,"Margaret Mitchell",16
17,"Stephen King",17
18,"Thomas Harris",18
19,"Michael Crichton",19
20,"Andy Weir",20
21,"Douglas Adams",21
22,"George R.R. Martin",22
23,"Paulo Coelho",23
24,"C.S. Lewis",24
25,"Emily Brontë",25
26,"Leo Tolstoy",26
27,"Fyodor Dostoevsky",27
28,"Herman Melville",28
29,"Victor Hugo",29
30,"Agatha Christie",30
31,"Arthur Conan Doyle",31
32,"Paula Hawkins",32
33,"Mark Manson",33
34,"Gareth James",34
35,"Aurélien Géron",35
